num_leaves	min_data_in_leaf	feature_fraction	learning_rate	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
67	8098	0.359080504869901	0.0208625133241428	0.930918122314179	86			353.52	-0.000722594111610475		0.105999999999767	infill_ei	0.745999999999185	0.00263652797006631	0.930115299666316	619
202	6293	0.405337778927102	0.0100067302891424	0.930856296457247	54			537.407000000003	-0.000259697150934771		0.151999999998225	infill_ei	0.663000000000466	0.000500301497937687	0.930737254864379	1053
157	753	0.392297358184192	0.0100645161360937	0.930705960751183	58			417.926	-9.26688066444434e-05		0.106999999999971	infill_ei	0.674999999999272	0.000588182278619403	0.930478922004471	692
65	6100	0.367151481659561	0.0100982410210285	0.930644670956595	91			623.967000000001	-0.000642375743247061		0.211999999999534	infill_ei	0.760999999998603	0.000541518670740361	0.931524809691041	1367
200	5299	0.358959894186353	0.0100092111014705	0.930626742649334	18			482.707	-0.00121877567249898		0.0700000000006185	infill_ei	0.550000000000182	0.00291908834514075	0.930340286401389	962
172	7516	0.343334053219777	0.0100052241918792	0.930551038733959	25			604.585000000001	-0.000739964033814639		0.066000000000713	infill_ei	0.569999999999709	0.00252338206405738	0.930038920343353	1380
192	6849	0.395620100435179	0.0100472141276795	0.930523878241896	59			611.350000000002	-0.00011576537797494		0.13300000000163	infill_ei	0.663000000000466	0.000395801886518493	0.930763356393179	1287
88	6314	0.410392068389045	0.0100595337152372	0.930485579565589	70			548.870999999999	-0.000212232048405626		0.0760000000009313	infill_ei	0.701000000000931	0.000862570673987817	0.930549429609026	1077
256	7080	0.403799296192438	0.0100258265201303	0.930437750892067	30			629.127999999999	-0.00062061001389554		0.0429999999996653	infill_ei	0.587000000001353	0.00177231989629452	0.930446553864344	1318
89	928	0.275243143741988	0.0100207069161095	0.930437393517172	34			338.884	-0.000495661535762223		0.0470000000004802	infill_ei	0.590000000000146	0.000783900148556751	0.930942529174188	685
144	5930	0.344840411474115	0.0154719635762587	0.930271690690598	47			352.692000000001	-0.00027411487757245		0.108000000000175	infill_ei	0.639999999999418	0.00059509519601705	0.930696862778064	618
133	1712	0.428931917677895	0.0100155954910319	0.930233392014291	9			461.502	-0.00254700020208967		0.0740000000005239	infill_ei	0.520999999999731	0.00487180636362655	0.93123908608288	751
27	7922	0.395124181034923	0.0224603273805704	0.930218620518608	98			452.273000000001	-0.00111952047458851		0.130000000001019	infill_ei	0.793000000001484	0.000846775299228736	0.931996909608845	893
244	5822	0.281870195315818	0.0101028263805727	0.930214034207449	44			543.190000000001	-0.000563670241860212		0.0499999999992724	infill_ei	0.620999999999185	0.00130762549864093	0.93070870030599	1326
180	8190	0.375112226151395	0.023908959816015	0.930196225025153	95			315.216	-0.000232479537468852		0.128999999997177	infill_ei	0.770000000000437	0.000672834181046815	0.930842884469421	489
174	5925	0.697194355741766	0.0100372478057216	0.930179487967545	19			238.184000000001	-0.00123385126186098		0.0640000000003056	infill_ei	0.558999999999287	0.00217504031516354	0.931281071220939	1006
50	7641	0.422986511294698	0.0264548232608848	0.930132314481331	90			334.754999999997	-0.00156315551842403		0.194999999999709	infill_ei	0.758999999998196	0.00062713530105029	0.93247998334763	496
131	4139	0.69028829517366	0.0105566519475007	0.930132135793883	8			235.523	-0.00210761685309403		0.055000000000291	infill_ei	0.514000000000124	0.00279195049843316	0.931411448244094	869
69	740	0.630644347790495	0.0100037015589141	0.930078708246998	28			143.018	-0.000819406244182725		0.0379999999986467	infill_ei	0.581000000000131	0.00191283900328716	0.930736804698965	584
161	6389	0.222974582965899	0.0100310533717216	0.930035048947257	14			439.031	-0.00182695973687434		0.0579999999999927	infill_ei	0.541000000000167	0.00603593655536968	0.92896546355984	1161
119	8191	0.362203386071463	0.029086658868427	0.930015929390345	40			291.687	-0.00038380123535067		0.0869999999995343	infill_ei	0.617000000000189	0.0015778035112151	0.930053157799258	434
69	5542	0.787555009905923	0.0217151038200964	0.930014619015728	97			184.297999999999	-0.000366058126410837		0.130999999997584	infill_ei	0.774000000001252	0.00119971690979383	0.930673109904563	671
228	8192	0.30647908785548	0.0101882374406927	0.929992759584616	41			540.199000000001	-0.000431611724125562		0.0429999999996653	infill_ei	0.61200000000099	0.000991092547524988	0.93069719172206	1280
256	529	0.408685787480946	0.0100149358947009	0.929972329653087	71			423.128000000001	-0.000373286114297118		0.0980000000017753	infill_ei	0.703999999997905	0.00205934554696624	0.929712718712548	625
60	8181	0.465184798280885	0.0100475244256792	0.929914554044972	93			560.921000000002	-0.000543115717185506		0.131000000001222	infill_ei	0.768000000000029	0.000932402232593963	0.931221395089002	1059
169	4686	0.649067953589158	0.0100668916546844	0.929882747679267	45			232.959999999999	-0.000406370331685375		0.0859999999993306	infill_ei	0.629000000000815	0.000955410670275308	0.930676156544287	900
256	906	0.100327957826709	0.0100095183433171	0.929873336807017	99			272.360000000001	-0.000444447016226805		0.111000000000786	infill_ei	0.777999999998428	0.00190249400708804	0.9301745635372	831
196	3645	0.685028569617945	0.0102514105911457	0.92983021356962	67			273.034000000003	-0.000212199973623764		0.0909999999967113	infill_ei	0.687000000001717	0.00065958610291052	0.930747246517314	1039
62	8190	0.207554043302636	0.0412084917597258	0.929813000012151	61			212.689999999999	-0.000480203576153944		0.0900000000001455	infill_ei	0.667999999997846	0.001246915883465	0.930821419523804	386
146	4016	0.554607319783572	0.0124481753458547	0.929789532394009	5			444.262	-0.00217511776701756		0.0549999999998363	infill_ei	0.518000000000029	0.0048823708277058	0.929469701027825	637
255	3332	0.67485333004929	0.010019864272446	0.92978059802162	7			270.237	-0.00419667656123062		0.0309999999999491	infill_ei	0.515999999999622	0.00476742755720173	0.933359641493176	992
155	176	0.273135656007297	0.0100115053200377	0.929774760898326	15			446.223	-0.00163826804572913		0.0620000000008076	infill_ei	0.533000000000357	0.00338721076168581	0.93077309122482	1011
256	8186	0.101287015059887	0.0108190762096439	0.92976910246248	24			448.001	-0.000608311412770365		0.069999999999709	infill_ei	0.567999999999302	0.00344550015110158	0.928656757674951	1888
92	7220	0.684756453343729	0.0100345090546544	0.929748791655916	49			224.427	-0.000436011711377791		0.115000000001601	infill_ei	0.638999999999214	0.00114560519833492	0.930584071361151	988
255	4075	0.718250410562131	0.0103132569953883	0.929698342233159	13			242.079	-0.00132153120234568		0.079000000000633	infill_ei	0.526000000000749	0.00156600316280859	0.931331677241756	902
242	7737	0.485300687372392	0.0173641555925573	0.929613108320569	65			415.317999999999	-0.000143804196455045		0.0799999999981083	infill_ei	0.677999999999884	0.000797160007124829	0.930411226685586	657
256	3533	0.40379856769401	0.0100216997885337	0.929595239575791	66			509.110000000001	-0.000275222632878909		0.132000000001426	infill_ei	0.695999999999913	0.000902984515060578	0.930671176814837	935
110	2546	0.624542823358732	0.0100027635740602	0.929582195392103	50			215.565999999999	-0.000253344918079007		0.119999999998981	infill_ei	0.638000000002648	0.00102406247021361	0.930266234704403	697
255	6376	0.899978644110525	0.0102152235289329	0.929579872455282	68			283.244999999999	-0.000328033576037646		0.0889999999999418	infill_ei	0.699000000000524	0.00211229874465191	0.929482684259115	1312
83	8191	0.316225494255925	0.0203022613093605	0.929521799034754	89			311.663	-0.000464467411341869		0.113000000001193	infill_ei	0.752000000000408	0.000490376817646144	0.931327093029928	551
127	8192	0.100208596570187	0.0282019107119076	0.929519118723038	48			192.585999999999	-0.000246328732162983		0.0910000000003492	infill_ei	0.635999999998603	0.001138655232351	0.930123607536101	573
170	2593	0.166778818480129	0.0100480071824269	0.92949320904311	36			308.617	-0.000590664654474873		0.0840000000007422	infill_ei	0.601000000000568	0.0018345029051612	0.930324534011376	786
80	5959	0.105127445145681	0.0100099829832664	0.929455565554111	77			366.609	-0.000187668013341967		0.0889999999999418	infill_ei	0.71900000000096	0.00114659322500969	0.930147208031388	1405
193	8191	0.245752403850359	0.0669686116712821	0.929369914704142	74			167.478999999999	-0.00102686354968682		0.0839999999989232	infill_ei	0.711999999999534	0.00328164464616757	0.930246587257818	167
33	8192	0.891068532357211	0.129864372635173	0.929367651329804	55			72.4120000000003	-0.000265654001567234		0.119999999998981	infill_ei	0.653999999998632	0.00326101835674794	0.927556869065659	85
214	7377	0.242017308059578	0.0361416952464489	0.929354309333703	46			206.223	-0.000348831295530814		0.0470000000004802	infill_ei	0.628000000000611	0.00132031878562693	0.930221774869734	302
44	8188	0.104991333453128	0.0101104219514343	0.92931059047148	23			452.902	-0.000962059103466488		0.0720000000001164	infill_ei	0.563000000000102	0.00496625655721004	0.928077482975135	1876
53	6	0.370827678578441	0.0100262219482564	0.929274495607029	39			758.999	-0.000479510419990436		0.0490000000008877	infill_ei	0.606999999999971	0.00189894866466297	0.929984884923078	1885
192	8187	0.732080162229518	0.0100717101707828	0.929202603690539	16			271.962	-0.00154645169480987		0.0730000000003201	infill_ei	0.545000000000073	0.00618824936603365	0.928097593355914	1340
31	1922	0.304548971127471	0.010062762446791	0.929192835443394	22			571.921	-0.000899200928753083		0.0409999999992579	infill_ei	0.563000000000102	0.00259408554371557	0.930342993955534	1454
153	4063	0.670957667219731	0.121981372009963	0.929030765928259	0			90.38				initdesign				68
95	8192	0.899104246881741	0.0500320666035241	0.929022188930765	56			108.539000000001	-0.000305390650220059		0.150000000001455	infill_ei	0.664999999997235	0.00215970302030462	0.929331283393083	277
